"Nazwa Pliku",06-04-20 19:44,20-04-20 23:22,04-05-20 23:24,18-05-2020 21:54,01-06-20 23:27,15-06-20 23:42
"FrontAngular\dist\FrontAngular\styles-es5.js",,,,,,348
"FrontAngular\dist\FrontAngular\styles-es5.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\vendor-es2015.js",,,,,,72903
"FrontAngular\dist\FrontAngular\vendor-es2015.js.map",,,,,,1
"FrontAngular\dist\FrontAngular\vendor-es5.js",,,,,,106777
"FrontAngular\dist\FrontAngular\vendor-es5.js.map",,,,,,1
"FrontAngular\e2e\protractor.conf.js",32,32,32,32,32,32
"FrontAngular\e2e\src\app.e2e-spec.ts",23,23,23,23,23,23
"FrontAngular\e2e\src\app.po.ts",11,11,11,11,11,11
"FrontAngular\e2e\tsconfig.json",13,13,13,13,13,13
"FrontAngular\karma.conf.js",32,32,32,32,32,32
"FrontAngular\package-lock.json",13560,13560,13560,13051,13051,13051
"FrontAngular\package.json",47,47,47,47,47,47
"FrontAngular\src\app\app-routing.module.ts",11,16,16,16,16,16
"FrontAngular\src\app\app.component.html",534,1,1,1,1,1
"FrontAngular\src\app\app.component.scss",0,0,0,0,0,0
"FrontAngular\src\app\app.component.spec.ts",35,,,,,
"FrontAngular\src\app\app.component.ts",10,14,14,14,14,14
"FrontAngular\src\app\app.module.ts",18,33,33,33,34,34
"FrontAngular\src\app\home-page\home-page.component.html",,7,7,7,7,7
"FrontAngular\src\app\home-page\home-page.component.scss",,0,43,43,43,43
"FrontAngular\src\app\home-page\home-page.component.ts",,27,27,27,27,27
"FrontAngular\src\app\shared\DataService.ts",,,,26,47,47
"FrontAngular\src\app\shared\models\data.model.ts",,8,8,8,8,8
"FrontAngular\src\app\shared\models\textS.model.ts",,3,3,3,3,3
"FrontAngular\src\app\shared\models\user.model.ts",,,,,4,4
"FrontAngular\src\app\table\choose-table\choose-table.component.html",,,9,9,16,16
"FrontAngular\src\app\table\choose-table\choose-table.component.scss",,,0,0,0,0
"FrontAngular\src\app\table\choose-table\choose-table.component.ts",,,18,30,51,51
"FrontAngular\src\app\table\crud\crud.component.html",,,,,17,17
"FrontAngular\src\app\table\crud\crud.component.scss",,,,,0,0
"FrontAngular\src\app\table\crud\crud.component.ts",,,,,54,54
"FrontAngular\src\app\table\dynamic-table\dynamic-table.component.html",,1,25,25,25,25
"FrontAngular\src\app\table\dynamic-table\dynamic-table.component.scss",,0,0,0,0,0
"FrontAngular\src\app\table\dynamic-table\dynamic-table.component.ts",,22,27,26,26,26
"FrontAngular\src\app\table\fifty-kdata\fifty-kdata.component.html",,,,,1,1
"FrontAngular\src\app\table\fifty-kdata\fifty-kdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\fifty-kdata\fifty-kdata.component.ts",,,,,27,27
"FrontAngular\src\app\table\five-kdata\five-kdata.component.html",,,,,1,1
"FrontAngular\src\app\table\five-kdata\five-kdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\five-kdata\five-kdata.component.ts",,,,,30,30
"FrontAngular\src\app\table\five-mdata\five-mdata.component.html",,,,,1,1
"FrontAngular\src\app\table\five-mdata\five-mdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\five-mdata\five-mdata.component.ts",,,,,27,27
"FrontAngular\src\app\table\milion-element\milion-element.component.html",,,,15,1,1
"FrontAngular\src\app\table\milion-element\milion-element.component.scss",,,,0,0,0
"FrontAngular\src\app\table\milion-element\milion-element.component.ts",,,,29,29,29
"FrontAngular\src\app\table\one-element\one-element.component.html",,,,16,16,16
"FrontAngular\src\app\table\one-element\one-element.component.scss",,,,0,0,0
"FrontAngular\src\app\table\one-element\one-element.component.ts",,,,29,29,29
"FrontAngular\src\app\table\one-thousand-element\one-thousand-element.component.html",,,,15,1,1
"FrontAngular\src\app\table\one-thousand-element\one-thousand-element.component.scss",,,,0,0,0
"FrontAngular\src\app\table\one-thousand-element\one-thousand-element.component.ts",,,,27,27,27
"FrontAngular\src\app\table\static-table\static-table.component.html",,53,53,25,25,25
"FrontAngular\src\app\table\static-table\static-table.component.scss",,0,0,0,0,0
"FrontAngular\src\app\table\static-table\static-table.component.ts",,15,15,25,25,25
"FrontAngular\src\app\table\table.component.html",,13,11,11,14,14
"FrontAngular\src\app\table\table.component.scss",,0,44,44,44,44
"FrontAngular\src\app\table\table.component.ts",,20,20,20,22,22
"FrontAngular\src\app\table\table.module.ts",,13,14,18,26,26
"FrontAngular\src\app\table\table.routing.ts",,20,22,42,82,82
"FrontAngular\src\app\table\ten-mdata\ten-mdata.component.html",,,,,1,1
"FrontAngular\src\app\table\ten-mdata\ten-mdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\ten-mdata\ten-mdata.component.ts",,,,,26,26
"FrontAngular\src\app\table\ten-thousand-element\ten-thousand-element.component.html",,,,16,1,1
"FrontAngular\src\app\table\ten-thousand-element\ten-thousand-element.component.scss",,,,0,0,0
"FrontAngular\src\app\table\ten-thousand-element\ten-thousand-element.component.ts",,,,27,27,27
"FrontAngular\src\app\table\three-kdata\three-kdata.component.html",,,,,1,1
"FrontAngular\src\app\table\three-kdata\three-kdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\three-kdata\three-kdata.component.ts",,,,,26,26
"FrontAngular\src\app\table\three-mdata\three-mdata.component.html",,,,,1,1
"FrontAngular\src\app\table\three-mdata\three-mdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\three-mdata\three-mdata.component.ts",,,,,26,26
"FrontAngular\src\app\table\twenty-kdata\twenty-kdata.component.html",,,,,1,1
"FrontAngular\src\app\table\twenty-kdata\twenty-kdata.component.scss",,,,,0,0
"FrontAngular\src\app\table\twenty-kdata\twenty-kdata.component.ts",,,,,26,26
"FrontAngular\src\app\text\dynamic-text\dynamic-text.component.html",,1,1,1,1,1
"FrontAngular\src\app\text\dynamic-text\dynamic-text.component.scss",,0,0,0,0,0
"FrontAngular\src\app\text\dynamic-text\dynamic-text.component.ts",,16,16,16,16,16
"FrontAngular\src\app\text\static-text\static-text.component.html",,8,8,8,8,8
"FrontAngular\src\app\text\static-text\static-text.component.scss",,6,6,6,6,6
"FrontAngular\src\app\text\static-text\static-text.component.ts",,27,31,32,32,32
"FrontAngular\src\app\text\text.component.html",,13,13,13,13,13
"FrontAngular\src\app\text\text.component.scss",,0,0,0,0,0
"FrontAngular\src\app\text\text.component.ts",,19,19,19,19,19
"FrontAngular\src\app\text\text.module.ts",,18,18,18,18,18
"FrontAngular\src\app\text\text.routing.ts",,20,20,20,20,20
"FrontAngular\src\assets\jsonDataTable.json",,2998,2998,2998,2998,2998
"FrontAngular\src\assets\text.json",,1,1,1,1,1
"FrontAngular\src\environments\environment.prod.ts",3,3,3,3,3,3
"FrontAngular\src\environments\environment.ts",16,16,16,16,16,16
"FrontAngular\src\favicon.ico",11,11,11,11,11,11
"FrontAngular\src\index.html",13,13,13,13,13,13
"FrontAngular\src\main.ts",12,12,12,12,12,12
"FrontAngular\src\polyfills.ts",63,63,63,63,63,63
"FrontAngular\src\styles.scss",1,1,1,1,1,1
"FrontAngular\src\test.ts",25,25,25,25,25,25
"FrontAngular\tsconfig.app.json",14,14,14,14,14,14
"FrontAngular\tsconfig.json",23,23,23,23,23,23
"FrontAngular\tsconfig.spec.json",18,18,18,18,18,18
"FrontAngular\tslint.json",148,148,148,148,148,148
"FrontReact\front\README.md",68,68,68,68,68,68
"FrontReact\front\build\lorem.txt",,,,,,11739
"FrontReact\front\build\manifest.json",,,,,,25
"FrontReact\front\build\robots.txt",,,,,,3
"FrontReact\front\package-lock.json",15137,15328,15277,15277,15277,15277
"FrontReact\front\package.json",34,38,35,35,35,35
"FrontReact\front\public\favicon.ico",33,,,,,
"FrontReact\front\public\index.html",43,25,25,22,22,22
"FrontReact\front\public\logo192.png",40,,,,,
"FrontReact\front\public\logo512.png",84,,,,,
"FrontReact\front\public\lorem.txt",,11739,11739,11739,11739,11739
"FrontReact\front\public\manifest.json",25,25,25,25,25,25
"FrontReact\front\public\robots.txt",3,3,3,3,3,3
"FrontReact\front\src\App.css",38,50,51,51,68,68
"FrontReact\front\src\App.js",26,42,42,42,84,84
"FrontReact\front\src\App.test.js",9,9,9,9,9,9
"FrontReact\front\src\Components\CrudComponent.jsx",,,,,101,101
"FrontReact\front\src\Components\DynamicTable.jsx",,44,35,35,35,35
"FrontReact\front\src\Components\HomePage.jsx",,43,43,43,44,44
"FrontReact\front\src\Components\Rest.jsx",,62,60,60,116,116
"FrontReact\front\src\Components\StaticTable.jsx",,31,47,47,47,47
"FrontReact\front\src\Components\Table.jsx",,41,41,41,48,48
"FrontReact\front\src\Components\Text.jsx",,38,28,28,28,28
"FrontReact\front\src\Components\data\jsonDataTable.json",,2998,2998,2998,2998,2998
"FrontReact\front\src\Components\data\text.json",,,1,1,1,1
"FrontReact\front\src\index.css",13,16,16,16,16,16
"FrontReact\front\src\index.js",17,12,12,12,12,12
"FrontReact\front\src\logo.svg",7,,,,,
"FrontReact\front\src\paths.js",,11,11,11,19,19
"FrontReact\front\src\serviceWorker.js",141,,,,,
"FrontReact\front\src\setupTests.js",5,1,1,1,1,1
"FrontVue\frontvue\.browserslistrc",,,,3,3,3
"FrontVue\frontvue\.editorconfig",,,,7,7,7
"FrontVue\frontvue\.eslintrc.js",,,,19,19,19
"FrontVue\frontvue\README.md",,,,24,24,24
"FrontVue\frontvue\package-lock.json",,,,10604,10604,10604
"FrontVue\frontvue\package.json",,,,26,26,27
"FrontVue\frontvue\public\favicon.ico",,,,25,25,25
"FrontVue\frontvue\public\index.html",,,,17,17,17
"FrontVue\frontvue\src\App.vue",,,,8,8,8
"FrontVue\frontvue\src\assets\data\jsonDataTable.json",,,,2998,2998,2998
"FrontVue\frontvue\src\assets\data\text.json",,,,1,1,1
"FrontVue\frontvue\src\assets\logo.png",,,,60,60,60
"FrontVue\frontvue\src\assets\main.css",,,,23,29,29
"FrontVue\frontvue\src\main.js",,,,11,11,11
"FrontVue\frontvue\src\router\index.js",,,,79,69,111
"FrontVue\frontvue\src\views\DynamicTable.vue",,,,31,40,64
"FrontVue\frontvue\src\views\DynamicTableData10k.vue",,,,11,14,33
"FrontVue\frontvue\src\views\DynamicTableData10m.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableData1k.vue",,,,11,14,33
"FrontVue\frontvue\src\views\DynamicTableData1m.vue",,,,11,14,33
"FrontVue\frontvue\src\views\DynamicTableData20k.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableData3k.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableData3m.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableData50k.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableData5k.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableData5m.vue",,,,,,33
"FrontVue\frontvue\src\views\DynamicTableSimple.vue",,,,11,14,34
"FrontVue\frontvue\src\views\Home.vue",,,,22,25,25
"FrontVue\frontvue\src\views\StaticTable.vue",,,,14,14,41
"FrontVue\frontvue\src\views\Table.vue",,,,21,24,24
"FrontVue\frontvue\src\views\Tekst.vue",,,,,33,33
"FrontVue\frontvue\src\views\Text.vue",,,,16,,
"FrontVue\frontvue\src\views\json\jsonDataTable.json",,,,,,2998
"SeleniumTestingAutomat\pom.xml",,,45,45,45,45
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\Configuration.java",,,49,63,67,90
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\Main.java",,,26,32,41,41
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\PageFactory.java",,,13,13,48,50
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\ReportGenerator.java",,,13,40,52,76
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\TechnologyClassExtractor.java",,,35,35,35,35
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\TestsExecutor.java",,,76,76,81,93
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\model\ResultCrud.java",,,,,,23
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\pageFactory\Angular.java",,,15,15,43,191
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\pageFactory\React.java",,,72,74,103,169
"SeleniumTestingAutomat\src\main\java\pl\kozakowski\seleniumtestingautomat\pageFactory\Vue.java",,,,85,85,93
"SeleniumTestingAutomat\target\classes\pom.xml",,,,,,45
"SeleniumTestingAutomat\target\classes\target\classes\pom.xml",,,,,,45
"SeleniumTestingAutomat\target\classes\target\classes\target\classes\pom.xml",,,,,,45
"SeleniumTestingAutomat\target\classes\target\classes\target\classes\target\classes\pom.xml",,,,,,45
"Sprawozdanie.docx",,,,23207,23932,23932
"StatisticsFileTools_1.0.jar",62,,,,,
"StatisticsFileTools_1.2.jar",,71,,,,
"StatisticsFileTools_1.3.jar",,,58,58,58,58
"historyResults.dk",,4,5,6,7,8
"instrukcja_StatisticsFileToolss.txt",,14,14,15,15,15
"results.csv",,,,,,193
